Ticker;Company;Currency;Price;Raw Price;EMA20;EMA50;EMA100;EMA200;Distance EMA20 %;Distance EMA50 %;1D %;1W %;1M %;3M %;6M %;RSI;52W High;52W High Raw;52W Low Raw;Distance 52W High %;Distance 52W Low %;Volatility 30D %;Beta;Volume Signal;RVOL;Volume Trend 10D;Dividend Yield %;Dividend Rate;Ex Dividend Date;Last Dividend Date;Next Earnings Date;Stop Loss Idea;Market Cap;Market Cap Class;Forward PE;Trailing PE;PEG Ratio;Revenue Growth;Revenue Growth Raw;Earnings Growth;Earnings Growth Raw;Profit Margin;Profit Margin Raw;Debt To Equity;Free Cashflow;Free Cashflow Raw;Operating Cashflow;Operating Cashflow Raw;Fundamental Score;Fundamental Rating;Fundamental Data Points;Fundamental Data Quality;Fundamental Pros;Fundamental Cons;Risk Level;Turnaround Candidate;Early Signal Score;Early Signal Label;Early Signal Details;Score;Rating;Reason;Sector;Industry;Liquidity;Exchange;Avg Dollar Volume;Relative Strength 1M;Relative Strength 3M;RS Percentile;RS Rating;Sector Avg 1M %;Market RS 1M;Market RS 3M;Smart Money Score;Smart Money Signal;Smart Money Details;Insider Buys 6M;Insider Sells 6M;Insider Net Value;Institutional %;Short % Float;Short Ratio;Swing Score;Swing Tier
PUBM;PubMatic, Inc.;USD;17.76 USD;17.76;13.89 USD;12.76 USD;11.55 USD;10.51 USD;27.9;39.2;-0.11;37.04;31.07;75.15;144.63;81.31;17.78 USD;17.78;6.28;-0.11;182.8;6.3;1.542;HIGH;2.49;41.58;0.0%;-;-;-;06.08.2026;12.5 USD;808969088.0;Small Cap;24.8;-;4.95;10.5%;0.1;-;-;-4.66%;-0.05;17.14;60.31 Mio.;60314624.0;88.04 Mio.;88038000.0;4;MIXED;6;OK;Forward KGV im gesunden Bereich | Umsatzwachstum positiv | Free Cashflow positiv | Verschuldung moderat;PEG Ratio hoch | Negative Gewinnmarge;HIGH RISK;NO;1;-;EMA50 dreht nach oben;7;WATCH - OVERBOUGHT;über EMA20, über EMA50, über EMA200, 1M positiv, kurzfristig heiß gelaufen, hohes Volumen, hohes Risiko;SOFTWARE;Software - Application;HOCH;NGM;11320668.0;19.03;52.25;88.3;🟢 Top-Performer im Sektor;12.04;28.68;69.54;0;⚪ Nicht geprüft;-;0;0;;;;;34.0;⚪ Schwach
CACI;CACI International, Inc.;USD;648.24 USD;648.24;530.28 USD;510.59 USD;518.54 USD;531.35 USD;22.25;26.96;0.59;26.45;33.26;29.8;4.46;78.6;662.19 USD;662.19;440.76;-2.11;47.07;4.63;0.541;NORMAL;1.33;23.77;0.0%;-;-;-;21.10.2026;500.37 USD;14325806080.0;Large Cap;17.27;26.81;514.23;17.6%;0.18;-1.2%;-0.01;5.6%;0.06;120.66;610.37 Mio.;610367104.0;886.71 Mio.;886710016.0;4;MIXED;8;OK;Forward KGV im gesunden Bereich | KGV nicht übertrieben | Umsatzwachstum positiv | Gewinnmarge positiv | Free Cashflow positiv;PEG Ratio hoch | Gewinnwachstum negativ;HIGH RISK;NO;1;-;EMA50 dreht nach oben;6;WATCH - OVERBOUGHT;über EMA20, über EMA50, über EMA200, 1M positiv, kurzfristig heiß gelaufen, hohes Risiko;TECHNOLOGY;Information Technology Services;HOCH;NYQ;192099442.0;32.01;27.22;96.3;🟢 Top-Performer im Sektor;1.25;30.87;24.19;0;⚪ Nicht geprüft;-;0;0;;;;;33.9;⚪ Schwach
SNPS;Synopsys, Inc.;USD;411.68 USD;411.68;403.51 USD;424.42 USD;439.18 USD;448.75 USD;2.02;-3.0;-1.04;5.0;-7.59;-18.39;-11.49;51.39;625.8 USD;625.8;372.33;-34.22;10.57;2.53;1.213;LOW;0.69;-4.57;0.0%;-;-;-;26.08.2026;415.93 USD;78828208128.0;Large Cap;23.82;95.3;2.23;41.9%;0.42;-96.0%;-0.96;8.91%;0.09;35.57;3.54 Mrd.;3538958592.0;2.8 Mrd.;2796464128.0;4;MIXED;8;OK;Forward KGV im gesunden Bereich | Umsatzwachstum positiv | Gewinnmarge positiv | Free Cashflow positiv | Verschuldung moderat;KGV sehr hoch | Gewinnwachstum negativ;LOW RISK;NO;6;EARLY SIGNAL;EMA20-Squeeze / Kurs nähert sich von unten | RSI erholt sich aus überverkaufter Zone | Bodenbildung: nahe 52W-Tief mit positiver Kursdrehung;3;PRE-BREAKOUT;über EMA20, Early: EARLY SIGNAL;SOFTWARE;Software - Infrastructure;HOCH;NMS;821830609.0;-19.63;-41.29;14.2;🔴 Schwächster im Sektor;12.04;-9.98;-24.0;1;🔵 Leicht positiv;hohe institutionelle Beteiligung;0;0;;91.03;2.94;2.86;33.8;⚪ Schwach
IONS;Ionis Pharmaceuticals, Inc.;USD;56.94 USD;56.94;57.47 USD;63.89 USD;68.58 USD;71.08 USD;-0.92;-10.88;0.67;4.5;-2.25;-25.91;-31.12;43.55;86.5 USD;86.5;40.84;-34.17;39.42;5.14;0.4;NORMAL;0.74;-0.05;0.0%;-;-;-;29.07.2026;62.62 USD;9462535168.0;Mid Cap;-49.08;-;27.33;-40.7%;-0.41;-;-;-64.66%;-0.65;497.8;-346.76 Mio.;-346764640.0;-496.43 Mio.;-496433984.0;0;WEAK;6;OK;-;PEG Ratio hoch | Umsatzwachstum negativ | Negative Gewinnmarge | Free Cashflow negativ | Verschuldung hoch;LOW RISK;NO;4;MÖGLICHES SIGNAL;EMA20-Squeeze / Kurs nähert sich von unten | RSI erholt sich aus überverkaufter Zone;1;AVOID;Early: MÖGLICHES SIGNAL, Fundamentaldaten schwach;BIOTECH;Biotechnology;HOCH;NMS;162409450.0;-1.78;-45.68;57.6;🟡 Durchschnittlich;-0.47;-4.64;-31.52;0;⚪ Nicht geprüft;-;0;0;;;;;33.8;⚪ Schwach
APPN;Appian Corporation;USD;35.58 USD;35.58;28.15 USD;25.79 USD;25.32 USD;26.26 USD;26.41;37.97;2.71;28.4;40.3;53.49;27.53;76.92;45.64 USD;45.64;18.72;-22.04;90.06;4.67;0.861;NORMAL;0.86;5.77;0.0%;-;-;-;05.11.2026;25.27 USD;2548510208.0;Mid Cap;25.1;-;-;19.1%;0.19;-;-;-1.34%;-0.01;-;109.32 Mio.;109315872.0;80.76 Mio.;80757000.0;2;WEAK;4;OK;Umsatzwachstum positiv | Free Cashflow positiv;Negative Gewinnmarge;HIGH RISK;NO;1;-;EMA50 dreht nach oben;6;WATCH - OVERBOUGHT;über EMA20, über EMA50, über EMA200, 1M positiv, kurzfristig heiß gelaufen, hohes Risiko, Fundamentaldaten schwach;SOFTWARE;Software - Infrastructure;HOCH;NGM;33219267.0;28.26;30.59;95.8;🟢 Top-Performer im Sektor;12.04;37.91;47.88;0;⚪ Nicht geprüft;-;0;0;;;;;33.7;⚪ Schwach
HCA;HCA Healthcare, Inc.;USD;414.03 USD;414.03;399.79 USD;400.91 USD;417.1 USD;433.4 USD;3.56;3.27;0.16;1.82;1.83;-3.4;-14.91;58.61;543.23 USD;543.23;360.6;-23.78;14.82;2.76;1.109;LOW;0.61;-9.39;0.75%;3.12 USD;16.09.2026;16.06.2026;23.10.2026;392.89 USD;91848335360.0;Large Cap;12.89;13.87;1.34;8.7%;0.09;11.6%;0.12;8.77%;0.09;-;3.74 Mrd.;3738125056.0;11.12 Mrd.;11123999744.0;6;SOLID;7;GOOD;Forward KGV im gesunden Bereich | KGV nicht übertrieben | PEG Ratio attraktiv | Umsatzwachstum positiv | Gewinnwachstum positiv | Gewinnmarge positiv | Free Cashflow positiv | Dividende vorhanden;-;LOW RISK;NO;2;-;EMA50 dreht nach oben | Mögliche Bodenbildung nahe 52W-Tief;5;BUY;über EMA20, über EMA50, 1M positiv, fundamental solide;HEALTHCARE;Medical Care Facilities;HOCH;NYQ;690633920.0;-5.17;-21.72;44.0;🟡 Durchschnittlich;7.0;-0.56;-9.01;0;⚪ Nicht geprüft;-;0;0;;;;;33.7;⚪ Schwach
TFC;Truist Financial Corporation;USD;51.86 USD;51.86;51.97 USD;51.0 USD;50.0 USD;49.02 USD;-0.2;1.69;-0.94;-0.12;0.37;3.17;2.95;51.04;54.68 USD;54.68;39.79;-5.15;30.33;1.39;0.87;LOW;0.69;-0.33;4.01%;2.08 USD;14.08.2026;08.05.2026;16.10.2026;49.98 USD;63353536512.0;Large Cap;10.42;11.92;1.33;8.2%;0.08;36.7%;0.37;30.69%;0.31;-;-;-;5.8 Mrd.;5797000192.0;6;SOLID;6;GOOD;Forward KGV im gesunden Bereich | KGV nicht übertrieben | PEG Ratio attraktiv | Umsatzwachstum positiv | Gewinnwachstum positiv | Solide Gewinnmarge | Dividende vorhanden;-;LOW RISK;NO;1;-;EMA50 dreht nach oben;6;BUY;über EMA50, über EMA200, 1M positiv, fundamental solide;FINANCIALS;Banks - Regional;HOCH;NYQ;468829284.0;-1.53;-5.5;45.3;🟡 Durchschnittlich;1.9;-2.02;-2.44;0;⚪ Nicht geprüft;-;0;0;;;;;33.6;⚪ Schwach
OKLO;Oklo Inc.;USD;44.49 USD;44.49;44.04 USD;49.43 USD;56.45 USD;65.05 USD;1.02;-9.99;-8.12;7.93;-8.93;-44.12;-44.12;48.7;174.14 USD;174.14;36.84;-74.45;20.77;5.72;1.201;NORMAL;1.47;15.5;0.0%;-;-;-;07.08.2026;48.44 USD;8275925504.0;Mid Cap;-45.18;-;-;-;-;-;-;0.0%;0.0;0.12;-239.32 Mio.;-239324880.0;-116.92 Mio.;-116919000.0;1;WEAK;4;OK;Verschuldung moderat;Negative Gewinnmarge | Free Cashflow negativ;LOW RISK;NO;6;EARLY SIGNAL;EMA20-Squeeze / Kurs nähert sich von unten | RSI erholt sich aus überverkaufter Zone | Bodenbildung: nahe 52W-Tief mit positiver Kursdrehung;3;PRE-BREAKOUT;über EMA20, Early: EARLY SIGNAL, Fundamentaldaten schwach;UTILITIES;Utilities - Independent Power Producers;HOCH;NYQ;513591759.0;-4.41;-38.2;20.0;🔴 Schwächster im Sektor;-4.52;-11.32;-49.73;0;⚪ Neutral;erhöhte Shortquote (18.4% Float) -> Squeeze-Kontext;0;0;;46.74;18.39;2.89;33.5;⚪ Schwach
NCNO;nCino, Inc.;USD;18.97 USD;18.97;18.24 USD;17.41 USD;17.52 USD;18.64 USD;3.98;8.94;-1.04;-1.2;11.65;8.77;-11.15;60.06;32.69 USD;32.69;14.01;-41.97;35.4;2.72;0.663;LOW;0.65;-7.07;0.0%;-;-;-;25.08.2026;17.06 USD;2078219392.0;Mid Cap;12.69;158.08;-;10.6%;0.11;147.6%;1.48;2.17%;0.02;33.19;138.52 Mio.;138516992.0;117.15 Mio.;117150000.0;5;SOLID;7;GOOD;Forward KGV im gesunden Bereich | Umsatzwachstum positiv | Gewinnwachstum positiv | Gewinnmarge positiv | Free Cashflow positiv | Verschuldung moderat;KGV sehr hoch;LOW RISK;NO;1;-;EMA50 dreht nach oben;6;BUY;über EMA20, über EMA50, über EMA200, 1M positiv, fundamental solide;SOFTWARE;Software - Application;HOCH;NMS;64707827.0;-0.39;-14.13;45.0;🟡 Durchschnittlich;12.04;9.26;3.16;0;⚪ Nicht geprüft;-;0;0;;;;;33.5;⚪ Schwach
CCJ;Cameco Corporation;USD;97.31 USD;97.31;92.48 USD;97.02 USD;101.6 USD;102.91 USD;5.23;0.3;-0.08;8.46;1.38;-21.37;-21.14;57.3;134.09 USD;134.09;70.33;-27.43;38.36;2.68;0.992;LOW;0.52;0.29;0.17%;0.17 USD;01.12.2025;01.12.2025;30.10.2026;95.08 USD;42381713408.0;Large Cap;51.55;170.72;1.92;-7.2%;-0.07;-92.1%;-0.92;10.21%;0.1;17.13;49.99 Mio.;49994624.0;941.8 Mio.;941798016.0;4;MIXED;8;OK;PEG Ratio attraktiv | Solide Gewinnmarge | Free Cashflow positiv | Verschuldung moderat | Dividende vorhanden;Forward KGV sehr hoch | KGV sehr hoch | Umsatzwachstum negativ | Gewinnwachstum negativ;LOW RISK;NO;3;MÖGLICHES SIGNAL;EMA20-Squeeze / Kurs nähert sich von unten | Momentum-Divergenz: 1M dreht positiv nach langem Abschwung;5;BUY;über EMA20, über EMA50, 1M positiv, Early: MÖGLICHES SIGNAL;URANIUM;Uranium;HOCH;NYQ;335678630.0;-8.6;0.56;33.3;🟡 Durchschnittlich;9.98;-1.01;-26.98;0;⚪ Nicht geprüft;-;0;0;;;;;33.5;⚪ Schwach
LHX;L3Harris Technologies, Inc.;USD;289.72 USD;289.72;288.69 USD;295.58 USD;304.95 USD;309.69 USD;0.36;-1.98;1.06;4.27;-0.36;-3.74;-14.86;49.77;375.64 USD;375.64;265.9;-22.87;8.96;2.29;0.746;NORMAL;0.71;14.14;1.73%;5.0 USD;04.09.2026;05.06.2026;29.10.2026;289.67 USD;53950099456.0;Large Cap;21.58;28.97;1.64;190.0%;1.9;-6.1%;-0.06;10.37%;0.1;34.57;-;-;1.66 Mrd.;1655000064.0;6;SOLID;7;GOOD;Forward KGV im gesunden Bereich | KGV nicht übertrieben | PEG Ratio attraktiv | Umsatzwachstum positiv | Solide Gewinnmarge | Verschuldung moderat | Dividende vorhanden;Gewinnwachstum negativ;LOW RISK;NO;5;EARLY SIGNAL;EMA20-Squeeze / Kurs nähert sich von unten | RSI erholt sich aus überverkaufter Zone | Mögliche Bodenbildung nahe 52W-Tief;3;PRE-BREAKOUT;über EMA20, Early: EARLY SIGNAL, fundamental solide;DEFENSE;Aerospace & Defense;HOCH;NYQ;406538291.0;-663.69;-191.73;23.4;🟡 Durchschnittlich;663.33;-2.75;-9.35;1;🔵 Leicht positiv;hohe institutionelle Beteiligung;0;0;;90.47;1.9;1.99;33.5;⚪ Schwach
QUTM.DE;VanEck ETF-Quantum Computing  R;EUR;25.66 EUR;25.66;24.96 EUR;25.14 EUR;24.67 EUR;23.87 EUR;2.78;2.06;-0.5;0.21;2.29;2.11;19.21;56.9;29.8 EUR;29.8;18.28;-13.91;40.34;1.77;;LOW;0.24;-1.74;0.0%;-;-;-;-;24.63 EUR;;UNKNOWN;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;UNKNOWN;0;LOW;-;Fundamentaldaten unvollständig;LOW RISK;NO;1;-;EMA50 dreht nach oben;7;STRONG BUY;über EMA20, über EMA50, über EMA200, 1M positiv, Fundamentaldaten unvollständig;OTHER;-;MITTEL;GER;2345919.0;-2.69;-4.16;36.8;🟡 Durchschnittlich;4.98;-0.1;-3.5;0;⚪ Nicht geprüft;-;0;0;;;;;33.5;⚪ Schwach
ZETA;Zeta Global Holdings Corp.;USD;27.54 USD;27.54;23.22 USD;21.55 USD;20.36 USD;19.64 USD;18.62;27.81;3.38;22.07;28.15;59.84;48.22;70.52;27.54 USD;27.54;14.55;0.0;89.28;4.14;1.386;NORMAL;0.76;17.47;0.0%;-;-;-;03.11.2026;21.12 USD;6912914944.0;Mid Cap;22.85;inf;0.77;43.5%;0.43;-;-;-0.14%;-0.0;23.77;252.16 Mio.;252155632.0;240.97 Mio.;240968000.0;5;SOLID;7;GOOD;Forward KGV im gesunden Bereich | PEG Ratio attraktiv | Umsatzwachstum positiv | Free Cashflow positiv | Verschuldung moderat;KGV sehr hoch | Negative Gewinnmarge;HIGH RISK;NO;1;-;EMA50 dreht nach oben;7;WATCH - OVERBOUGHT;über EMA20, über EMA50, über EMA200, 1M positiv, kurzfristig heiß gelaufen, hohes Risiko, fundamental solide;SOFTWARE;Software - Infrastructure;HOCH;NYQ;261154026.0;16.11;36.94;86.7;🟢 Top-Performer im Sektor;12.04;25.76;54.23;0;⚪ Nicht geprüft;-;0;0;;;;;33.5;⚪ Schwach
WCH.DE;Wacker Chemie AG              I;EUR;93.25 EUR;93.25;91.29 EUR;91.86 EUR;90.06 EUR;85.87 EUR;2.14;1.51;0.38;3.1;2.19;-3.62;35.05;53.9;105.6 EUR;105.6;61.55;-11.7;51.5;2.84;0.684;LOW;0.13;-1.26;2.68%;2.5 EUR;08.05.2025;08.05.2025;29.10.2026;90.02 EUR;4632472064.0;Mid Cap;45.54;-;5.17;7.4%;0.07;-;-;-7.94%;-0.08;54.97;489.14 Mio.;489137504.0;732.4 Mio.;732400000.0;3;MIXED;6;OK;Umsatzwachstum positiv | Free Cashflow positiv | Verschuldung moderat | Dividende vorhanden;Forward KGV sehr hoch | PEG Ratio hoch | Negative Gewinnmarge;LOW RISK;NO;1;-;EMA50 dreht nach oben;7;STRONG BUY;über EMA20, über EMA50, über EMA200, 1M positiv;MATERIALS;Specialty Chemicals;HOCH;GER;7008065.0;-2.55;8.3;36.4;🟡 Durchschnittlich;4.74;-0.2;-9.23;0;⚪ Nicht geprüft;-;0;0;;;;;33.4;⚪ Schwach
BA;Boeing Company (The);USD;232.79 USD;232.79;224.53 USD;221.92 USD;221.4 USD;220.83 USD;3.68;4.9;-0.7;-0.3;4.73;1.24;-0.4;57.92;252.15 USD;252.15;179.12;-7.68;29.96;2.59;1.221;LOW;0.58;-6.77;0.0%;-;13.02.2020;13.02.2020;28.10.2026;217.49 USD;183855792128.0;Large Cap;56.31;84.04;89.29;8.0%;0.08;-;-;2.59%;0.03;790.88;5.63 Mrd.;5625375232.0;3.64 Mrd.;3639000064.0;2;WEAK;7;OK;Umsatzwachstum positiv | Gewinnmarge positiv | Free Cashflow positiv;Forward KGV sehr hoch | KGV sehr hoch | PEG Ratio hoch | Verschuldung hoch;LOW RISK;NO;1;-;EMA50 dreht nach oben;7;STRONG BUY;über EMA20, über EMA50, über EMA200, 1M positiv, Fundamentaldaten schwach;DEFENSE;Aerospace & Defense;HOCH;NYQ;1503291940.0;-658.6;-186.75;36.2;🟡 Durchschnittlich;663.33;2.34;-4.37;0;⚪ Nicht geprüft;-;0;0;;;;;33.4;⚪ Schwach
MELI;MercadoLibre, Inc.;USD;1824.34 USD;1824.34;1836.57 USD;1789.76 USD;1791.59 USD;1845.71 USD;-0.67;1.93;0.2;-3.92;-1.51;-0.91;-15.06;50.37;2510.97 USD;2510.97;1546.81;-27.35;17.94;1.53;1.312;NORMAL;0.76;6.24;0.0%;-;28.12.2017;28.12.2017;04.11.2026;1753.97 USD;92488196096.0;Large Cap;31.74;49.51;1.12;49.8%;0.5;-10.9%;-0.11;5.3%;0.05;168.59;353.38 Mio.;353375008.0;13.91 Mrd.;13905000448.0;3;MIXED;8;OK;PEG Ratio attraktiv | Umsatzwachstum positiv | Gewinnmarge positiv | Free Cashflow positiv;KGV sehr hoch | Gewinnwachstum negativ;LOW RISK;NO;4;MÖGLICHES SIGNAL;Volumen-Akkumulation (steigendes Vol. bei engem Kurs) | EMA50 dreht nach oben;3;HOLD;über EMA50, Early: MÖGLICHES SIGNAL;CONSUMER CYCLICAL;Internet Retail;HOCH;NMS;899598473.0;-1.47;-0.08;39.1;🟡 Durchschnittlich;-0.04;-3.9;-6.52;0;⚪ Nicht geprüft;-;0;0;;;;;33.2;⚪ Schwach
DNN;Denison Mines Corp;USD;3.26 USD;3.26;3.03 USD;3.13 USD;3.25 USD;3.27 USD;7.55;4.3;1.24;13.19;0.93;-15.54;-17.68;59.09;4.37 USD;4.37;1.92;-25.4;69.79;3.74;1.601;NORMAL;1.08;1.12;0.0%;-;-;-;11.08.2026;3.06 USD;2950355200.0;Mid Cap;-80.22;-;106.92;-19.6%;-0.2;-;-;0.0%;0.0;280.62;-95.89 Mio.;-95892000.0;-86.78 Mio.;-86779000.0;0;WEAK;6;OK;-;PEG Ratio hoch | Umsatzwachstum negativ | Negative Gewinnmarge | Free Cashflow negativ | Verschuldung hoch;LOW RISK;NO;4;MÖGLICHES SIGNAL;EMA20-Squeeze / Kurs nähert sich von unten | EMA50 dreht nach oben | Momentum-Divergenz: 1M dreht positiv nach langem Abschwung;5;BUY;über EMA20, über EMA50, 1M positiv, Early: MÖGLICHES SIGNAL, Fundamentaldaten schwach;URANIUM;Uranium;HOCH;ASE;79390095.0;-9.05;6.39;22.2;🟡 Durchschnittlich;9.98;-1.46;-21.15;0;⚪ Nicht geprüft;-;0;0;;;;;33.2;⚪ Schwach
VBK.DE;Verbio SE                     I;EUR;30.26 EUR;30.26;30.29 EUR;31.57 EUR;31.83 EUR;30.0 EUR;-0.1;-4.14;1.27;3.7;-0.39;-11.42;17.01;48.42;45.8 EUR;45.8;9.9;-33.93;205.81;3.33;-0.016;LOW;0.22;-2.27;0.0%;-;09.12.2024;09.12.2024;24.09.2026;30.94 EUR;1928030464.0;Small Cap;15.03;-;5.8;13.1%;0.13;-;-;-4.22%;-0.04;29.6;40.54 Mio.;40536500.0;121.79 Mio.;121786000.0;4;MIXED;6;OK;Forward KGV im gesunden Bereich | Umsatzwachstum positiv | Free Cashflow positiv | Verschuldung moderat;PEG Ratio hoch | Negative Gewinnmarge;LOW RISK;NO;4;MÖGLICHES SIGNAL;EMA20-Squeeze / Kurs nähert sich von unten | RSI erholt sich aus überverkaufter Zone;4;HOLD;über EMA200, Early: MÖGLICHES SIGNAL;MATERIALS;Specialty Chemicals;MITTEL;GER;3994592.0;-5.13;0.5;30.3;🟡 Durchschnittlich;4.74;-2.78;-17.03;0;⚪ Nicht geprüft;-;0;0;;;;;33.1;⚪ Schwach
MTDR;Matador Resources Company;USD;52.23 USD;52.23;49.74 USD;51.28 USD;51.99 USD;51.13 USD;5.0;1.85;7.28;7.79;2.52;-8.26;18.02;56.22;64.51 USD;64.51;36.03;-19.04;44.95;3.09;0.771;NORMAL;1.27;9.38;2.87%;1.5 USD;10.08.2026;10.08.2026;27.10.2026;50.25 USD;6463682560.0;Mid Cap;5.95;8.42;0.78;26.8%;0.27;160.6%;1.61;18.85%;0.19;69.1;-907.76 Mio.;-907763968.0;2.6 Mrd.;2603782912.0;7;VERY SOLID;8;GOOD;Forward KGV im gesunden Bereich | KGV nicht übertrieben | PEG Ratio attraktiv | Umsatzwachstum positiv | Gewinnwachstum positiv | Solide Gewinnmarge | Verschuldung moderat | Dividende vorhanden;Free Cashflow negativ;LOW RISK;NO;3;MÖGLICHES SIGNAL;EMA20-Squeeze / Kurs nähert sich von unten | Momentum-Divergenz: 1M dreht positiv nach langem Abschwung;7;STRONG BUY;über EMA20, über EMA50, über EMA200, 1M positiv, Early: MÖGLICHES SIGNAL, fundamental solide;ENERGY;Oil & Gas E&P;HOCH;NYQ;99133532.0;-7.62;-12.62;15.5;🔴 Schwächster im Sektor;10.14;0.13;-13.87;0;⚪ Nicht geprüft;-;0;0;;;;;33.1;⚪ Schwach
VOW.DE;VOLKSWAGEN AG                 I;EUR;76.2 EUR;76.2;76.04 EUR;77.82 EUR;81.04 EUR;84.4 EUR;0.21;-2.08;-0.2;-1.49;5.32;-10.1;-20.62;49.59;102.75 EUR;102.75;72.05;-25.84;5.76;1.75;0.989;LOW;0.36;-7.09;6.82%;5.2 EUR;19.06.2026;19.06.2026;29.10.2026;76.26 EUR;38198697984.0;Large Cap;2.81;7.31;0.71;2.0%;0.02;-41.0%;-0.41;1.8%;0.02;138.75;14.11 Mrd.;14109154304.0;17.56 Mrd.;17561999360.0;5;SOLID;8;GOOD;Forward KGV im gesunden Bereich | KGV nicht übertrieben | PEG Ratio attraktiv | Umsatzwachstum positiv | Gewinnmarge positiv | Free Cashflow positiv | Dividende vorhanden;Gewinnwachstum negativ;LOW RISK;YES;1;-;Momentum-Divergenz: 1M dreht positiv nach langem Abschwung;3;TURNAROUND;über EMA20, 1M positiv, mögliche Trendwende, fundamental solide;CONSUMER CYCLICAL;Auto Manufacturers;HOCH;GER;5811241.0;5.36;-9.27;68.8;🔵 Überdurchschnittlich;-0.04;2.93;-15.71;0;⚪ Nicht geprüft;-;0;0;;;;;33.1;⚪ Schwach
6146.T;DISCO CORPORATION;JPY;62980.0 JPY;62980.0;63435.69 JPY;67777.6 JPY;68229.69 JPY;65880.02 JPY;-0.72;-7.08;7.77;4.06;-11.93;-16.03;-8.11;47.52;88480.0 JPY;88480.0;37284.22;-28.82;68.92;5.81;1.014;NORMAL;0.81;1.93;0.87%;547.0 JPY;29.09.2026;29.09.2026;22.10.2026;66422.05 JPY;6831297527808.0;Mega Cap;46.28;50.51;1.74;27.1%;0.27;43.5%;0.43;31.64%;0.32;-;-;-;-;-;4;MIXED;6;OK;PEG Ratio attraktiv | Umsatzwachstum positiv | Gewinnwachstum positiv | Solide Gewinnmarge | Dividende vorhanden;Forward KGV sehr hoch | KGV sehr hoch;LOW RISK;NO;3;MÖGLICHES SIGNAL;EMA20-Squeeze / Kurs nähert sich von unten | RSI leichte Erholung;3;HOLD;Early: MÖGLICHES SIGNAL;SEMICONDUCTOR;Semiconductor Equipment & Materials;HOCH;JPX;118383191100.0;-3.08;-12.61;48.6;🟡 Durchschnittlich;-8.85;-14.32;-21.64;0;⚪ Nicht geprüft;-;0;0;;;;;33.1;⚪ Schwach
DUOL;Duolingo, Inc.;USD;137.19 USD;137.19;131.25 USD;125.99 USD;125.78 USD;138.46 USD;4.52;8.89;4.81;1.02;9.96;30.63;2.33;55.91;369.19 USD;369.19;90.03;-62.84;52.38;4.28;0.881;NORMAL;1.13;12.1;0.0%;-;-;-;04.11.2026;123.47 USD;6418608128.0;Mid Cap;17.87;16.22;-;18.3%;0.18;-27.5%;-0.28;35.88%;0.36;6.11;300.2 Mio.;300198016.0;430.55 Mio.;430548000.0;6;SOLID;7;GOOD;Forward KGV im gesunden Bereich | KGV nicht übertrieben | Umsatzwachstum positiv | Solide Gewinnmarge | Free Cashflow positiv | Verschuldung moderat;Gewinnwachstum negativ;LOW RISK;NO;1;-;EMA50 dreht nach oben;6;BUY;über EMA20, über EMA50, 1M positiv, fundamental solide;SOFTWARE;Software - Application;HOCH;NMS;188261996.0;-2.08;7.73;43.3;🟡 Durchschnittlich;12.04;7.57;25.02;0;⚪ Nicht geprüft;-;0;0;;;;;33.0;⚪ Schwach
DVN;Devon Energy Corporation;USD;45.36 USD;45.36;43.75 USD;43.96 USD;43.95 USD;42.89 USD;3.68;3.2;5.54;1.77;7.41;-1.97;14.2;57.04;51.7 USD;51.7;31.15;-12.27;45.61;2.43;0.419;NORMAL;1.24;4.75;2.82%;1.28 USD;15.09.2026;15.06.2026;04.11.2026;43.08 USD;49896001536.0;Large Cap;8.27;9.86;2.92;64.2%;0.64;44.0%;0.44;17.46%;0.17;28.49;782.63 Mio.;782625024.0;8.55 Mrd.;8552999936.0;7;VERY SOLID;8;GOOD;Forward KGV im gesunden Bereich | KGV nicht übertrieben | Umsatzwachstum positiv | Gewinnwachstum positiv | Solide Gewinnmarge | Free Cashflow positiv | Verschuldung moderat | Dividende vorhanden;-;LOW RISK;NO;1;-;Leichte Vol.-Erhöhung in Seitwärtsphase;7;STRONG BUY;über EMA20, über EMA50, über EMA200, 1M positiv, fundamental solide;ENERGY;Oil & Gas E&P;HOCH;NYQ;601191552.0;-2.73;-6.33;34.5;🟡 Durchschnittlich;10.14;5.02;-7.58;0;⚪ Nicht geprüft;-;0;0;;;;;32.9;⚪ Schwach
